n_components,alpha,accuracy,f1
1,0.05,0.1714,0.0732
1,0.1,0.1714,0.0732
1,0.2,0.1714,0.0732
1,0.5,0.1714,0.0732
1,1.0,0.1714,0.0732
2,0.05,0.1714,0.0732
2,0.1,0.1714,0.0732
2,0.2,0.1714,0.0732
2,0.5,0.1714,0.0732
2,1.0,0.1714,0.0732
5,0.05,0.1714,0.0732
5,0.1,0.1714,0.0732
5,0.2,0.1714,0.0732
5,0.5,0.1714,0.0732
5,1.0,0.1714,0.0732
10,0.05,0.1714,0.0732
10,0.1,0.1714,0.0732
10,0.2,0.1714,0.0732
10,0.5,0.1714,0.0732
10,1.0,0.1714,0.0732
20,0.05,0.1714,0.0732
20,0.1,0.1714,0.0732
20,0.2,0.1714,0.0732
20,0.5,0.1714,0.0732
20,1.0,0.1714,0.0732
